rule_id,invoice_type_id,rule_name,field_id,check_type,check_value,severity,agent_hint,error_message,page_region,enabled,rule_group
R_PL_005,PERS_LOCAL,calculo_neto,PL_008,cross_field,gross_salary - irpf_retention - social_security_employee,warning,El neto debería ser aproximadamente bruto - IRPF - SS empleado (±1.00 por redondeos). Si no hay IRPF o SS extraídos este check se omite.,El salario neto no coincide con el cálculo bruto - retenciones.,totals,true,general
R_PL_006,PERS_LOCAL,imputacion_valida,PL_009,range,"0,100",warning,El porcentaje de imputación al proyecto debe estar entre 0 y 100%.,El porcentaje de imputación al proyecto está fuera del rango válido (0-100%).,body,true,general
R_PS_001,PERS_SEDE,empleado_requerido,PS_001,required,,error,Nombre del empleado de sede obligatorio.,Falta el nombre del trabajador de sede.,header,true,general
R_PS_002,PERS_SEDE,periodo_requerido,PS_002,required,,error,Período de liquidación obligatorio para personal en sede.,Falta el período de liquidación.,header,true,general
R_PS_003,PERS_SEDE,bruto_requerido,PS_004,required,,error,Salario bruto obligatorio para personal en sede.,Falta el salario bruto.,body,true,general
R_PS_004,PERS_SEDE,neto_requerido,PS_008,required,,error,Salario neto obligatorio para personal en sede.,Falta el salario neto.,totals,true,general
R_PS_005,PERS_SEDE,imputacion_valida,PS_009,range,"0,100",warning,El porcentaje de dedicación al proyecto debe estar entre 0 y 100%.,Porcentaje de imputación de sede fuera de rango (0-100%).,body,true,general
R_EQ_001,EQUIPOS,proveedor_requerido,EQ_001,required,,error,El nombre del proveedor es obligatorio en facturas de equipos.,Falta el nombre del proveedor.,header,true,general
R_EQ_002,EQUIPOS,numero_factura_requerido,EQ_003,required,,error,El número de factura es obligatorio para equipos y materiales. Sin él no se puede justificar el gasto.,Falta el número de factura.,header,true,general
R_EQ_003,EQUIPOS,fecha_requerida,EQ_004,required,,error,La fecha de factura es obligatoria.,Falta la fecha de la factura.,header,true,general
R_EQ_004,EQUIPOS,descripcion_requerida,EQ_005,required,,warning,La descripción del equipo o material es necesaria para justificar la elegibilidad del gasto en el proyecto.,Falta la descripción del equipo o material adquirido.,line_items,true,general
R_EQ_005,EQUIPOS,total_requerido,EQ_011,required,,error,El importe total de la factura es obligatorio.,Falta el importe total de la factura de equipos.,totals,true,general
R_EQ_006,EQUIPOS,calculo_iva,EQ_011,cross_field,net_amount + vat_amount,warning,El total debe ser aproximadamente base imponible + IVA (±0.02). Si no hay IVA extraído este check se omite.,El importe total no coincide con base imponible + IVA.,totals,true,general
R_EQ_007,EQUIPOS,tipo_iva_valido,EQ_009,enum,"4,10,21,0",warning,"Tipos de IVA válidos en España: 4% (superreducido), 10% (reducido), 21% (general), 0% (exento/extracomunitario). Otros valores requieren verificación.","El tipo de IVA no corresponde a un tipo estándar español (0%, 4%, 10%, 21%).",line_items,true,general
R_CO_001,CONSUMIBLES,fecha_requerida,CO_003,required,,error,La fecha es obligatoria incluso en tickets simplificados.,Falta la fecha del documento de consumibles.,header,true,general
R_CO_002,CONSUMIBLES,total_requerido,CO_008,required,,error,El importe total es obligatorio.,Falta el importe total del documento de consumibles.,totals,true,general
R_CO_003,CONSUMIBLES,descripcion_requerida,CO_004,required,,warning,La descripción de los artículos es necesaria para justificar la elegibilidad del gasto.,Falta la descripción de los artículos consumibles.,line_items,true,general
R_CO_004,CONSUMIBLES,calculo_iva,CO_008,cross_field,net_amount + vat_amount,warning,"Si se extraen base e IVA, el total debe coincidir (±0.02).",El importe total no coincide con base + IVA.,totals,true,general
R_VIA_009,VIAJES,xunta_galicia_stamp_present,VISUAL,visual_check,An official stamp or seal referencing the XUNTA DE GALICIA project is present on the document,error,Check for an official rectangular or round stamp on any page that references XUNTA DE GALICIA.,Falta el sello oficial de XUNTA DE GALICIA en el documento.,body,true,xunta_galicia
R_VIA_010,VIAJES,grant_call_reference_present,VISUAL,visual_check,The annual grant call reference is visible on an official stamp or seal on the document,error,The stamp should show the grant call reference number (convocatoria anual).,Falta la referencia de la convocatoria en el sello oficial.,body,true,xunta_galicia
R_VIA_011,VIAJES,expedient_number_present_stamp,VISUAL,visual_check,The expediente number is visible on an official stamp or seal on the document,error,The stamp should include the expediente number (número de expediente).,Falta el número de expediente en el sello oficial.,body,true,xunta_galicia
R_VIA_012,VIAJES,project_funding_percentage_indicated,VISUAL,visual_check,The percentage of project funding attributed to each financial entity is visible on an official stamp or seal,error,The stamp should show the percentage of project funding (porcentaje de imputación).,Falta el porcentaje de financiación del proyecto en el sello oficial.,body,true,xunta_galicia
R_VIA_013,VIAJES,expense_description_sufficient,VISUAL,visual_check,The goods or services are described in enough detail to understand and justify the expense for project purposes,error,Check that the description identifies what was purchased and why it relates to the project.,La descripción del gasto es insuficiente para justificar el gasto del proyecto.,body,true,general
R_VIA_014,VIAJES,project_execution_within_2023,VISUAL,visual_check,The document date falls within the 2023 calendar year (1 January 2023 to 31 December 2023 inclusive),error,Check the document date (invoice date or travel date) is in 2023.,La fecha del documento está fuera del período de ejecución del proyecto (año 2023).,header,true,xunta_galicia
R_VIA_015,VIAJES,translation_provided,VISUAL,visual_check,"If the document language is not Spanish, English, French, Italian, or Portuguese, a translation into one of those languages is present in the document",error,"If the language is non-standard (e.g. Arabic, Chinese, Amharic), check for a translated page.",El documento está en un idioma no estándar sin traducción adjunta.,body,true,general
R_VIA_016,VIAJES,payment_method_stated,VISUAL,visual_check,"The payment method is stated on the document or an attached page (bank transfer, card, cash, cheque)",warning,Look for payment details on any page of the document.,No se identifica el método de pago en el documento.,body,true,general
R_VIA_017,VIAJES,proof_of_payment_attached,VISUAL,visual_check,"A proof of payment (bank receipt, transfer confirmation, signed receipt) is present somewhere in the document and corresponds to this expense amount",warning,Check for a SUPPORTING_DOC or SIGNATURE_STAMP page that confirms payment was made.,No se encuentra justificante de pago adjunto al documento.,body,true,general
R_VIA_018,VIAJES,documentation_match,VISUAL,visual_check,"If supporting documentation is attached, it matches this document in date, amount, and description",warning,Compare any attached receipts or confirmations against the main invoice.,"La documentación de soporte no coincide con la factura en fecha, importe o descripción.",body,true,general
R_VIA_019,VIAJES,procedure_code_mentioned,VISUAL,visual_check,The procedure code PR811A is mentioned somewhere in the document (typically on the official stamp),warning,"Look for PR811A on any page, especially on official stamps.",El código de procedimiento PR811A no aparece en el documento.,body,true,xunta_galicia
R_VIA_020,VIAJES,economy_class_flights_mandated,VISUAL,visual_check,"If this document includes air travel, the travel class is economy or equivalent — not business or first class",error,Check the ticket class on any flight ticket or boarding pass pages.,El billete de avión no es clase económica — business y primera clase no están permitidos.,body,true,xunta_galicia
R_VIA_021,VIAJES,expatriate_housing_not_subsidized,VISUAL,visual_check,This document does not cover rental or acquisition of housing for expatriate personnel,error,"Check if this is a rental or housing purchase contract for an expatriate. If so, it is ineligible.","El documento parece cubrir alojamiento para personal expatriado, gasto no subvencionable.",body,true,xunta_galicia
R_VIA_022,VIAJES,external_transport_elements_limited,VISUAL,visual_check,"If transport equipment is purchased or rented, it is a two-wheel vehicle or specialized vehicle (ambulance, water tanker) — not a standard car",warning,Standard cars and general vehicles are not eligible. Two-wheel and specialized vehicles are allowed.,El documento incluye elementos de transporte no elegibles (no son vehículos de dos ruedas ni especializados).,body,true,xunta_galicia
R_VIA_023,VIAJES,protocol_expenses_not_subsidized,VISUAL,visual_check,"This document does not represent protocol expenses such as meals with guests, parties, receptions, gifts, flowers, or event tickets",error,Protocol/entertainment expenses are not subsidisable.,"El documento parece incluir gastos de protocolo (comidas, recepciones, regalos) no subvencionables.",body,true,xunta_galicia
R_VIA_024,VIAJES,debtor_interest_not_subsidized,VISUAL,visual_check,This document does not represent debtor interest charged on bank accounts,warning,Check if this is a bank charge for debit interest.,"El documento parece ser un cargo por intereses deudores bancarios, no subvencionable.",body,true,xunta_galicia
R_VIA_025,VIAJES,sanctions_fines_not_subsidized,VISUAL,visual_check,"This document does not represent fines, surcharges, or administrative or criminal sanctions",error,Fines and sanctions are not subsidisable.,"El documento parece ser una sanción, recargo o multa, no subvencionable.",body,true,xunta_galicia
R_VIA_026,VIAJES,judicial_costs_not_subsidized,VISUAL,visual_check,This document does not represent judicial procedure expenses or legal costs from court proceedings,error,Court and judicial costs are not subsidisable.,"El documento parece incluir gastos de procedimiento judicial, no subvencionable.",body,true,xunta_galicia
R_PL_007,PERS_LOCAL,xunta_galicia_stamp_present,VISUAL,visual_check,An official stamp or seal referencing the XUNTA DE GALICIA project is present on the document,error,Check for an official XUNTA DE GALICIA stamp on any page of the payroll document.,Falta el sello oficial de XUNTA DE GALICIA en la nómina.,body,true,xunta_galicia
R_PL_008,PERS_LOCAL,grant_call_reference_present,VISUAL,visual_check,The annual grant call reference is visible on an official stamp or seal on the document,error,The stamp should show the grant call reference number.,Falta la referencia de la convocatoria en el sello oficial.,body,true,xunta_galicia
R_PL_009,PERS_LOCAL,expedient_number_present_stamp,VISUAL,visual_check,The expediente number is visible on an official stamp or seal on the document,error,The stamp should include the expediente number.,Falta el número de expediente en el sello oficial.,body,true,xunta_galicia
R_PL_010,PERS_LOCAL,project_funding_percentage_indicated,VISUAL,visual_check,The percentage of project funding attributed to each financial entity is visible on an official stamp or seal,error,The stamp should show the percentage of project funding imputed.,Falta el porcentaje de financiación del proyecto en el sello oficial.,body,true,xunta_galicia
R_PL_011,PERS_LOCAL,expense_description_sufficient,VISUAL,visual_check,"The payroll document clearly identifies the employee name, role, and pay period with sufficient detail to justify the expense",error,"Check that employee name, role, and period are visible and legible.",La nómina no tiene suficiente detalle para justificar el gasto del proyecto.,body,true,general
R_PL_012,PERS_LOCAL,project_execution_within_2023,VISUAL,visual_check,The pay period falls within the 2023 calendar year (January to December 2023),error,Check the pay period month and year is within 2023.,El período de liquidación está fuera del año de ejecución del proyecto (2023).,header,true,xunta_galicia
R_PL_013,PERS_LOCAL,translation_provided,VISUAL,visual_check,"If the document language is not Spanish, English, French, Italian, or Portuguese, a translation is present",error,"If the payroll is in a non-standard language, a translation must be attached.",La nómina está en un idioma no estándar sin traducción adjunta.,body,true,general
R_PL_014,PERS_LOCAL,payment_method_stated,VISUAL,visual_check,"Salary payment is evidenced: bank IBAN transfer cuenta OR cash OR named payer authorizing party (Pagado por Paid by Payé par Ing. responsable on demande décharge discharge)",warning,"Pass if any appear: cuenta bancaria IBAN transferencia efectivo OR who pays authorizes (firmado responsable orden). Not only SWIFT rows.",No consta cómo o por quién se efectúa el pago del salario.,body,true,general
R_PL_015,PERS_LOCAL,proof_of_payment_attached,VISUAL,visual_check,A proof of salary payment (bank transfer receipt or signed payslip acknowledgment) is present in the document,warning,Check for a SUPPORTING_DOC page confirming salary was paid.,No se encuentra justificante de pago de la nómina.,body,true,general
R_PL_016,PERS_LOCAL,procedure_code_mentioned,VISUAL,visual_check,The procedure code PR811A is mentioned somewhere in the document,warning,"Look for PR811A on any page, especially on official stamps.",El código de procedimiento PR811A no aparece en el documento.,body,true,xunta_galicia
R_PL_017,PERS_LOCAL,dismissal_indemnities_not_subsidized,VISUAL,visual_check,This payroll document does not include personnel dismissal indemnities or redundancy payments as a payroll concept,error,Check payroll line items for any dismissal or redundancy concepts (indemnización por despido).,"La nómina incluye indemnizaciones por despido, gasto no subvencionable.",body,true,general
R_PL_018,PERS_LOCAL,protocol_expenses_not_subsidized,VISUAL,visual_check,"This document does not represent protocol expenses such as meals, receptions, gifts, or event tickets",error,Payroll should not contain entertainment or protocol cost reimbursements.,El documento incluye gastos de protocolo no subvencionables.,body,true,general
R_PS_006,PERS_SEDE,xunta_galicia_stamp_present,VISUAL,visual_check,An official stamp or seal referencing the XUNTA DE GALICIA project is present on the document,error,Check for an official XUNTA DE GALICIA stamp on any page.,Falta el sello oficial de XUNTA DE GALICIA en el documento de sede.,body,true,xunta_galicia
R_PS_007,PERS_SEDE,grant_call_reference_present,VISUAL,visual_check,The annual grant call reference is visible on an official stamp or seal on the document,error,The stamp should show the grant call reference number.,Falta la referencia de la convocatoria en el sello oficial.,body,true,xunta_galicia
R_PS_008,PERS_SEDE,expedient_number_present_stamp,VISUAL,visual_check,The expediente number is visible on an official stamp or seal on the document,error,The stamp should include the expediente number.,Falta el número de expediente en el sello oficial de sede.,body,true,xunta_galicia
R_PS_009,PERS_SEDE,project_funding_percentage_indicated,VISUAL,visual_check,The percentage of project funding attributed to each financial entity is visible on an official stamp or seal,error,The stamp should show the percentage of project funding imputed.,Falta el porcentaje de financiación en el sello oficial de sede.,body,true,xunta_galicia
R_PS_010,PERS_SEDE,expense_description_sufficient,VISUAL,visual_check,"The payroll document clearly identifies the employee name, role, and pay period with sufficient detail",error,"Check that employee name, role, and period are clearly visible.",La nómina de sede no tiene suficiente detalle para justificar el gasto.,body,true,general
R_PS_011,PERS_SEDE,project_execution_within_2023,VISUAL,visual_check,The pay period falls within the 2023 calendar year (January to December 2023),error,Check the pay period is within 2023.,El período de liquidación de sede está fuera del año de ejecución del proyecto (2023).,header,true,xunta_galicia
R_PS_012,PERS_SEDE,translation_provided,VISUAL,visual_check,"If the document language is not Spanish, English, French, Italian, or Portuguese, a translation is present",error,"If the payroll is in a non-standard language, a translation must be attached.",El documento de sede está en un idioma no estándar sin traducción.,body,true,general
R_PS_013,PERS_SEDE,payment_method_stated,VISUAL,visual_check,The payment method for the salary is stated (bank transfer details or account number visible),warning,Look for bank account or transfer details on any page.,No se identifica el método de pago del salario de sede.,body,true,general
R_PS_014,PERS_SEDE,proof_of_payment_attached,VISUAL,visual_check,A proof of salary payment is present in the document,warning,Check for a SUPPORTING_DOC page confirming salary was paid.,No se encuentra justificante de pago de la nómina de sede.,body,true,general
R_PS_015,PERS_SEDE,procedure_code_mentioned,VISUAL,visual_check,The procedure code PR811A is mentioned somewhere in the document,warning,Look for PR811A on any page or stamp.,El código de procedimiento PR811A no aparece en el documento de sede.,body,true,xunta_galicia
R_PS_016,PERS_SEDE,dismissal_indemnities_not_subsidized,VISUAL,visual_check,This payroll document does not include personnel dismissal indemnities or redundancy payments,error,Check payroll concepts for any dismissal or redundancy items.,"La nómina de sede incluye indemnizaciones por despido, gasto no subvencionable.",body,true,general
R_PS_017,PERS_SEDE,protocol_expenses_not_subsidized,VISUAL,visual_check,"This document does not represent protocol expenses such as meals, receptions, gifts, or event tickets",error,Payroll should not contain entertainment cost reimbursements.,El documento de sede incluye gastos de protocolo no subvencionables.,body,true,general
R_EQ_008,EQUIPOS,xunta_galicia_stamp_present,VISUAL,visual_check,An official stamp or seal referencing the XUNTA DE GALICIA project is present on the document,error,Check for an official XUNTA DE GALICIA stamp on any page of the invoice.,Falta el sello oficial de XUNTA DE GALICIA en la factura de equipos.,body,true,xunta_galicia
R_EQ_009,EQUIPOS,grant_call_reference_present,VISUAL,visual_check,The annual grant call reference is visible on an official stamp or seal on the document,error,The stamp should show the grant call reference number.,Falta la referencia de la convocatoria en el sello oficial.,body,true,xunta_galicia
R_EQ_010,EQUIPOS,expedient_number_present_stamp,VISUAL,visual_check,The expediente number is visible on an official stamp or seal on the document,error,The stamp should include the expediente number.,Falta el número de expediente en el sello oficial.,body,true,xunta_galicia
R_EQ_011,EQUIPOS,project_funding_percentage_indicated,VISUAL,visual_check,The percentage of project funding attributed to each financial entity is visible on an official stamp or seal,error,The stamp should show the percentage of project funding imputed.,Falta el porcentaje de financiación del proyecto en el sello oficial.,body,true,xunta_galicia
R_EQ_012,EQUIPOS,expense_description_sufficient,VISUAL,visual_check,The goods or equipment purchased are described in enough detail to understand and justify the expense for project purposes,error,Check that item descriptions are specific enough to justify the purchase.,La descripción del equipo/material es insuficiente para justificar el gasto del proyecto.,body,true,general
R_EQ_013,EQUIPOS,project_execution_within_2023,VISUAL,visual_check,The invoice date falls within the 2023 calendar year (1 January 2023 to 31 December 2023 inclusive),error,Check the invoice date is in 2023.,La fecha de la factura de equipos está fuera del período de ejecución del proyecto (2023).,header,true,xunta_galicia
R_EQ_014,EQUIPOS,translation_provided,VISUAL,visual_check,"If the document language is not Spanish, English, French, Italian, or Portuguese, a translation is present",error,"If the invoice is in a non-standard language, a translation must be attached.",La factura está en un idioma no estándar sin traducción adjunta.,body,true,general
R_EQ_015,EQUIPOS,payment_method_stated,VISUAL,visual_check,"The payment method is stated on the document or an attached page (bank transfer, card, cash, cheque)",warning,Look for payment details on any page.,No se identifica el método de pago en la factura de equipos.,body,true,general
R_EQ_016,EQUIPOS,proof_of_payment_attached,VISUAL,visual_check,A proof of payment is present somewhere in the document and corresponds to this invoice amount,warning,Check for a SUPPORTING_DOC or SIGNATURE_STAMP page confirming payment.,No se encuentra justificante de pago adjunto a la factura de equipos.,body,true,general
R_EQ_017,EQUIPOS,documentation_match,VISUAL,visual_check,"If supporting documentation is attached (delivery notes, quotes, orders), it matches this invoice in date, amount, and description",warning,Compare any attached delivery notes or purchase orders against the invoice.,La documentación adjunta no coincide con la factura de equipos.,body,true,general
R_EQ_018,EQUIPOS,procedure_code_mentioned,VISUAL,visual_check,The procedure code PR811A is mentioned somewhere in the document,warning,"Look for PR811A on any page, especially on official stamps.",El código de procedimiento PR811A no aparece en la factura de equipos.,body,true,xunta_galicia
R_EQ_019,EQUIPOS,three_quotes_required_works,VISUAL,visual_check,"If this document is for construction or renovation works exceeding 40000 euros, at least three separate supplier quotes are visible in the document",error,For works > 40000 EUR: check the SUPPORTING_DOC pages for at least 3 quotes from different suppliers.,Obras superiores a 40.000 EUR requieren al menos tres presupuestos de proveedores distintos.,body,true,xunta_galicia
R_EQ_020,EQUIPOS,three_quotes_required_supplies_services,VISUAL,visual_check,"If this document is for supplies, equipment, or services (consultancy or technical assistance) exceeding 15000 euros, at least three separate supplier quotes are visible in the document",error,For supplies/services > 15000 EUR: check for at least 3 quotes from different suppliers.,Suministros o servicios superiores a 15.000 EUR requieren al menos tres presupuestos.,body,true,xunta_galicia
R_EQ_021,EQUIPOS,audit_cost_limit,VISUAL,visual_check,"If this document is an accounting audit invoice, the total amount does not exceed 2500 euros",error,For audit invoices: verify total amount is at or below 2500 EUR.,El coste de la auditoría contable supera el límite de 2.500 euros.,totals,true,xunta_galicia
R_EQ_022,EQUIPOS,evaluation_cost_limit,VISUAL,visual_check,"If this document is an external evaluation invoice, the total amount does not exceed 5000 euros",error,For external evaluation invoices: verify total amount is at or below 5000 EUR.,El coste de la evaluación externa supera el límite de 5.000 euros.,totals,true,xunta_galicia
R_EQ_023,EQUIPOS,protocol_expenses_not_subsidized,VISUAL,visual_check,"This document does not represent protocol expenses such as meals, parties, receptions, gifts, flowers, or event tickets",error,Protocol and entertainment expenses are not subsidisable.,La factura incluye gastos de protocolo no subvencionables.,body,true,general
R_EQ_024,EQUIPOS,amortization_not_subsidized,VISUAL,visual_check,This document does not represent depreciation or amortization charges for previously purchased inventoriable goods,warning,Check if this is an amortization or depreciation charge rather than a new purchase.,"El documento parece ser un cargo por amortización de bienes, no subvencionable.",body,true,general
R_EQ_025,EQUIPOS,sanctions_fines_not_subsidized,VISUAL,visual_check,"This document does not represent fines, surcharges, or administrative or criminal sanctions",error,Fines and sanctions are not subsidisable.,"El documento parece ser una sanción o recargo, no subvencionable.",body,true,general
R_CO_005,CONSUMIBLES,xunta_galicia_stamp_present,VISUAL,visual_check,An official stamp or seal referencing the XUNTA DE GALICIA project is present on the document,error,Check for an official XUNTA DE GALICIA stamp on any page.,Falta el sello oficial de XUNTA DE GALICIA en el documento de consumibles.,body,true,xunta_galicia
R_CO_006,CONSUMIBLES,grant_call_reference_present,VISUAL,visual_check,The annual grant call reference is visible on an official stamp or seal on the document,error,The stamp should show the grant call reference number.,Falta la referencia de la convocatoria en el sello oficial.,body,true,xunta_galicia
R_CO_007,CONSUMIBLES,expedient_number_present_stamp,VISUAL,visual_check,The expediente number is visible on an official stamp or seal on the document,error,The stamp should include the expediente number.,Falta el número de expediente en el sello oficial.,body,true,xunta_galicia
R_CO_008,CONSUMIBLES,project_funding_percentage_indicated,VISUAL,visual_check,The percentage of project funding attributed to each financial entity is visible on an official stamp or seal,error,The stamp should show the percentage of project funding imputed.,Falta el porcentaje de financiación en el sello oficial.,body,true,xunta_galicia
R_CO_009,CONSUMIBLES,expense_description_sufficient,VISUAL,visual_check,The consumable goods purchased are described in enough detail to understand and justify the expense for project purposes,error,Check that item descriptions are specific enough to justify the purchase.,La descripción de los consumibles es insuficiente para justificar el gasto del proyecto.,body,true,general
R_CO_010,CONSUMIBLES,project_execution_within_2023,VISUAL,visual_check,The document date falls within the 2023 calendar year (1 January 2023 to 31 December 2023 inclusive),error,Check the document date is in 2023.,La fecha del documento de consumibles está fuera del período de ejecución del proyecto (2023).,header,true,xunta_galicia
R_CO_011,CONSUMIBLES,translation_provided,VISUAL,visual_check,"If the document language is not Spanish, English, French, Italian, or Portuguese, a translation is present",error,"If the document is in a non-standard language, a translation must be attached.",El documento está en un idioma no estándar sin traducción adjunta.,body,true,general
R_CO_012,CONSUMIBLES,payment_method_stated,VISUAL,visual_check,"The payment method is stated on the document or an attached page (bank transfer, card, cash, cheque)",warning,Look for payment details on any page.,No se identifica el método de pago en el documento de consumibles.,body,true,general
R_CO_013,CONSUMIBLES,proof_of_payment_attached,VISUAL,visual_check,A proof of payment is present somewhere in the document and corresponds to this expense amount,warning,Check for a SUPPORTING_DOC or SIGNATURE_STAMP page confirming payment.,No se encuentra justificante de pago adjunto al documento de consumibles.,body,true,general
R_CO_014,CONSUMIBLES,documentation_match,VISUAL,visual_check,"If supporting documentation is attached, it matches this document in date, amount, and description",warning,Compare any attached receipts or confirmations against the main document.,La documentación adjunta no coincide con el documento de consumibles.,body,true,general
R_CO_015,CONSUMIBLES,procedure_code_mentioned,VISUAL,visual_check,The procedure code PR811A is mentioned somewhere in the document,warning,"Look for PR811A on any page, especially on official stamps.",El código de procedimiento PR811A no aparece en el documento de consumibles.,body,true,xunta_galicia
R_CO_016,CONSUMIBLES,protocol_expenses_not_subsidized,VISUAL,visual_check,"This document does not represent protocol expenses such as meals, parties, receptions, gifts, flowers, or event tickets",error,Protocol and entertainment expenses are not subsidisable.,El documento incluye gastos de protocolo no subvencionables.,body,true,xunta_galicia
R_CO_017,CONSUMIBLES,three_quotes_required_supplies_services,VISUAL,visual_check,"If this document is for supplies or services exceeding 15000 euros, at least three separate supplier quotes are visible in the document",error,For supplies/services > 15000 EUR: check for at least 3 quotes from different suppliers.,Suministros superiores a 15.000 EUR requieren al menos tres presupuestos de proveedores distintos.,body,true,xunta_galicia
